"price","year","manufacturer","make","fuel","miles","title_status","transmission","drive","type","paint_color"
3293,2011,"citroen","c5","diesel",118000,"clean","manual","rwd","compact","black"
1221,1997,"audi","a4","gas",238000,"clean","manual","rwd","compact","black"
2183,2003,"ford","fusion","gas",124500,"clean","manual","4wd","compact","black"
259,2002,"skoda","octavia","gas",139740,"clean","manual","fwd","compact","black"
1073,2000,"opel","corsa","gas",100,"rebuilt","manual","fwd","compact","black"
2405,2003,"ford","mondeo","gas",182284,"rebuilt","manual","fwd","compact","black"
5180,2008,"ford","focus","diesel",129958,"rebuilt","manual","fwd","compact","black"
10729,2011,"skoda","octavia","gas",159000,"clean","manual","4wd","compact","black"
925,1998,"ford","ka","gas",8124000,"clean","manual","4wd","compact","black"
1665,1000,"audi","a3","gas",238,"clean","manual","4wd","compact","black"
3145,2006,"citroen","jumper","gas",192600,"clean","manual","rwd","compact","black"
4437,2004,"skoda","octavia","gas",280000,"clean","manual","fwd","compact","black"
1665,2003,"ford","focus","gas",231000,"clean","manual","fwd","compact","black"
7957,2005,"bmw","x3","gas",188000,"clean","manual","4wd","compact","black"
6476,2007,"bmw","x3","gas",240000,"rebuilt","manual","fwd","compact","black"
2960,2001,"bmw","x5","gas",330000,"rebuilt","manual","fwd","compact","black"
2923,2001,"volvo","s60","gas",258000,"clean","manual","rwd","compact","black"
14766,2004,"toyota","land-cruiser","gas",70000,"rebuilt","manual","fwd","compact","black"
5292,2006,"seat","leon","gas",239000,"clean","manual","rwd","compact","black"
4256,2006,"nissan","note","gas",128500,"clean","manual","rwd","compact","black"
2031,2003,"lancia","thesis","gas",190000,"clean","manual","4wd","compact","black"
3327,2003,"mazda","mpv","diesel",156000,"rebuilt","manual","fwd","compact","black"
2031,2002,"ford","mondeo","diesel",186000,"clean","manual","rwd","compact","black"
3697,2006,"ford","fusion","diesel",114000,"clean","manual","4wd","compact","black"
7398,2011,"hyundai","i30","gas",39000,"rebuilt","manual","fwd","compact","black"
3697,2005,"ford","c-max","diesel",175000,"clean","manual","rwd","compact","black"
3327,2005,"ford","focus","diesel",140000,"clean","manual","4wd","compact","black"
5177,2003,"bmw","x5","gas",189900,"rebuilt","manual","fwd","compact","black"
5729,2008,"ford","s-max","gas",282000,"clean","manual","rwd","compact","black"
2772,2005,"opel","meriva","diesel",140000,"rebuilt","manual","fwd","compact","black"
1846,2003,"opel","corsa","gas",135000,"rebuilt","manual","fwd","compact","black"
1476,2000,"seat","cordoba","gas",161000,"rebuilt","manual","fwd","compact","black"
7028,2008,"ford","mondeo","diesel",135000,"rebuilt","manual","fwd","compact","black"
11839,2009,"bmw","x3","diesel",191500,"rebuilt","manual","fwd","compact","black"
6658,2011,"skoda","fabia","gas",15800,"clean","manual","4wd","compact","black"
4437,2008,"opel","meriva","gas",110000,"clean","manual","rwd","compact","black"
3327,2005,"ford","fusion","gas",148000,"clean","manual","4wd","compact","black"
1073,1320,"fiat","punto","gas",4132000,"rebuilt","manual","fwd","compact","black"
8105,2009,"skoda","octavia","gas",181000,"rebuilt","manual","fwd","compact","black"
3700,2009,"citroen","c3","gas",160780,"clean","manual","rwd","compact","black"
4441,2007,"ford","c-max","gas",196245,"rebuilt","manual","fwd","compact","black"
4626,2007,"ford","connect","gas",21539,"rebuilt","manual","fwd","compact","black"
3330,2009,"opel","corsa","gas",176245,"clean","manual","4wd","compact","black"
2220,2004,"citroen","xsara-picasso","gas",236918,"clean","manual","4wd","compact","black"
1406,2003,"suzuki","alto","gas",101217,"clean","manual","rwd","compact","black"
6254,2000,"nissan","patrol","diesel",188000,"rebuilt","manual","fwd","compact","black"
2035,2007,"fiat","punto","gas",171813,"clean","manual","4wd","compact","black"
8142,2012,"opel","meriva","gas",103000,"clean","manual","rwd","compact","black"
4807,2007,"opel","astra","gas",152890,"clean","manual","rwd","compact","black"
8142,2009,"ford","mondeo","gas",95663,"clean","manual","rwd","compact","black"
9992,2007,"bmw","x3","gas",186226,"clean","manual","fwd","compact","black"
4256,2007,"fiat","grande-punto","diesel",125000,"clean","manual","rwd","compact","black"
2035,2000,"ford","galaxy","gas",292000,"clean","manual","rwd","compact","black"
499,2007,"skoda","octavia","gas",164800,"clean","manual","fwd","compact","black"
1813,2006,"chevrolet","spark","gas",95000,"clean","manual","rwd","compact","black"
2590,2003,"skoda","fabia","gas",232000,"rebuilt","manual","fwd","compact","black"
1739,2000,"audi","a3","gas",224000,"clean","manual","rwd","compact","black"
5144,2001,"audi","100","gas",112077,"clean","manual","fwd","compact","black"
6994,2007,"audi","a4","diesel",203000,"rebuilt","manual","fwd","compact","black"
3293,2003,"lancia","lybra","diesel",111117,"clean","manual","4wd","compact","black"
11472,2010,"hyundai","ix35","diesel",147296,"clean","manual","rwd","compact","black"
6106,2007,"skoda","fabia","gas",107104,"clean","manual","rwd","compact","black"
2220,2005,"skoda","fabia","gas",195000,"clean","manual","rwd","compact","black"
2035,2003,"ford","fiesta","gas",75000,"clean","manual","fwd","compact","black"
3515,2006,"skoda","fabia","gas",113018,"rebuilt","manual","fwd","compact","black"
